"","X","Species","Latitude","Longitude","Oiling","Condition","BirdCount","Date_","Oil_Cond","Date","week.number","Alive","Common","Family","Quarter"
"560",560,"Brown Pelican",28.94485,-89.39158,"Not Visibly Oiled","Dead",1,"2010-06-20",3,2010-06-20,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"561",561,"Brown Pelican",29.2994,-89.70208,"Not Visibly Oiled","Dead",1,"2010-07-19",3,2010-07-19,30,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"564",564,"Brown Pelican",30.56082,-88.04272,"Visibly Oiled","Dead",1,"2010-08-20",4,2010-08-20,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"568",568,"Brown Pelican",30.17274,-87.46422,"Not Visibly Oiled","Dead",1,"2010-08-23",3,2010-08-23,35,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"571",571,"Brown Pelican",29.30451,-89.95958,"Visibly Oiled","Dead",1,"2010-09-11",4,2010-09-11,37,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"573",573,"Brown Pelican",29.19816,-90.04182,"Not Visibly Oiled","Dead",1,"2010-09-05",3,2010-09-05,36,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"574",574,"Brown Pelican",29.2544,-89.99182,"Not Visibly Oiled","Dead",1,"2010-09-20",3,2010-09-20,39,0,"Pelicans","Pelecanidae","09-20-2010 to 10-18-210"
"575",575,"Brown Pelican",30.12122,-86.72188,"Visibly Oiled","Dead",1,"2010-07-24",4,2010-07-24,30,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"576",576,"Brown Pelican",29.20696,-89.03378,"Unknown","Dead",1,"2010-05-31",5,2010-05-31,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"577",577,"Brown Pelican",29.20696,-89.03378,"Unknown","Dead",1,"2010-05-31",5,2010-05-31,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"578",578,"Brown Pelican",29.05233,-90.91551,"Visibly Oiled","Dead",1,"2010-06-17",4,2010-06-17,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"579",579,"Brown Pelican",29.3028,-89.96445,"Not Visibly Oiled","Dead",1,"2010-08-06",3,2010-08-06,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"580",580,"Brown Pelican",29.21007,-89.0302,"Unknown","Dead",1,"2010-05-19",5,2010-05-19,21,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"581",581,"Brown Pelican",29.18605,-90.05533,"Not Visibly Oiled","Dead",1,"2010-08-14",3,2010-08-14,33,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"582",582,"Brown Pelican",29.37303,-89.78423,"Not Visibly Oiled","Dead",1,"2010-08-06",3,2010-08-06,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"583",583,"Brown Pelican",29.20883,-90.05165,"Visibly Oiled","Dead",1,"2010-06-12",4,2010-06-12,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"587",587,"Brown Pelican",29.02415,-89.30993,"Unknown","Dead",1,"2010-05-24",5,2010-05-24,22,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"588",588,"Brown Pelican",30.50062,-88.04377,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"589",589,"Brown Pelican",29.2335,-89.18341,"Not Visibly Oiled","Dead",1,"2010-06-26",3,2010-06-26,26,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"594",594,"Brown Pelican",30.08009,-85.42839,"Not Visibly Oiled","Dead",1,"2010-08-08",3,2010-08-08,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"595",595,"Brown Pelican",29.53573,-89.80795,"Not Visibly Oiled","Dead",1,"2010-07-14",3,2010-07-14,29,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"596",596,"Brown Pelican",30.22478,-88.52013,"Not Visibly Oiled","Dead",1,"2010-05-25",3,2010-05-25,22,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"597",597,"Brown Pelican",30.17239,-89.21224,"Unknown","Dead",1,"2010-07-05",5,2010-07-05,28,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"598",598,"Brown Pelican",28.94485,-89.39158,"Not Visibly Oiled","Dead",1,"2010-06-20",3,2010-06-20,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"599",599,"Brown Pelican",30.24823,-88.19978,"Not Visibly Oiled","Dead",1,"2010-09-15",3,2010-09-15,38,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"601",601,"Brown Pelican",30.22481,-88.0136,"Not Visibly Oiled","Dead",1,"2010-05-26",3,2010-05-26,22,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"603",603,"Brown Pelican",29.1762,-90.34763,"Not Visibly Oiled","Dead",1,"2010-08-20",3,2010-08-20,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"605",605,"Brown Pelican",29.63536,-85.1486,"Not Visibly Oiled","Dead",1,"2010-09-01",3,2010-09-01,36,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"606",606,"Brown Pelican",29.10538,-90.60478,"Visibly Oiled","Dead",1,"2010-07-14",4,2010-07-14,29,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"607",607,"Brown Pelican",30.39951,-88.0987,"Not Visibly Oiled","Dead",1,"2010-07-04",3,2010-07-04,27,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"609",609,"Brown Pelican",29.32255,-89.60173,"Not Visibly Oiled","Dead",1,"2010-07-14",3,2010-07-14,29,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"610",610,"Brown Pelican",30.22481,-88.0136,"Not Visibly Oiled","Dead",1,"2010-05-26",3,2010-05-26,22,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"612",612,"Brown Pelican",30.49717,-88.03754,"Not Visibly Oiled","Dead",1,"2010-08-16",3,2010-08-16,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"613",613,"Brown Pelican",29.23522,-89.51943,"Unknown","Dead",1,"2010-08-29",5,2010-08-29,35,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"614",614,"Brown Pelican",30.23114,-88.33454,"Visibly Oiled","Dead",1,"2010-09-01",4,2010-09-01,36,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"615",615,"Brown Pelican",29.20696,-89.03378,"Unknown","Dead",1,"2010-05-31",5,2010-05-31,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"616",616,"Brown Pelican",30.38894,-88.8855,"Not Visibly Oiled","Dead",1,"2010-09-18",3,2010-09-18,38,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"617",617,"Brown Pelican",29.09431,-90.24782,"Unknown","Dead",1,"2010-09-04",5,2010-09-04,36,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
